# E-020 · M6-07: filas derivadas cuyo fragmento ya existía en otro archivo de SDD/ en el padre del commit de alta (elegidas por la regla de linaje de E-006h, Mesa-2026-09-13 veredicto 1)
| GeometriaFactory-Api/05-Arquitectura-Tecnica/Arquitectura-Unidad-Entrega.md | 1190 | PA-02 | 0a71935 | ya en: SDD/Docs/Proyectos/GeometriaFactory-Api/03-UX-UI-DX/DX-Error-Messages.md |
| GeometriaFactory-Api/05-Arquitectura-Tecnica/Arquitectura-Unidad-Entrega.md | 1191 | PA-03 | 0a71935 | ya en: SDD/Docs/Proyectos/GeometriaFactory-Api/02-Especificacion-Funcional/Especificacion-Funcional.md |
| GeometriaFactory-Api/05-Arquitectura-Tecnica/Arquitectura-Unidad-Entrega.md | 1224 | PA-06 | e176845 | ya en: SDD/Docs/Proyectos/GeometriaFactory-Domain/05-Arquitectura-Tecnica/Arquitectura-Proyecto-Codigo.md |
| GeometriaFactory-Api/05-Arquitectura-Tecnica/Arquitectura-Unidad-Entrega.md | 1233 | PA-02 | 0a71935 | ya en: SDD/Docs/Proyectos/GeometriaFactory-Application/05-Arquitectura-Tecnica/Arquitectura-Proyecto-Codigo.md |
| GeometriaFactory-Api/05-Arquitectura-Tecnica/Arquitectura-Unidad-Entrega.md | 1235 | PA-04 | 0a71935 | ya en: SDD/Docs/Proyectos/GeometriaFactory-Infrastructure/02-Especificacion-Funcional/Definicion-Contrato-Del-Validador-De-Figuras.md |
| GeometriaFactory-Api/05-Arquitectura-Tecnica/Arquitectura-Unidad-Entrega.md | 1237 | PA-06 | 0a71935 | ya en: SDD/Docs/Proyectos/GeometriaFactory-Infrastructure/02-Especificacion-Funcional/Especificacion-Funcional.md |
| GeometriaFactory-Api/05-Arquitectura-Tecnica/Arquitectura-Unidad-Entrega.md | 1238 | PA-07 | 0a71935 | ya en: SDD/Docs/Proyectos/GeometriaFactory-Infrastructure/02-Especificacion-Funcional/Especificacion-Funcional.md |
| GeometriaFactory-Api/05-Arquitectura-Tecnica/Arquitectura-Unidad-Entrega.md | 1240 | PA-09 | 0a71935 | ya en: SDD/Docs/Proyectos/GeometriaFactory-Infrastructure/02-Especificacion-Funcional/Especificacion-Funcional.md |
| GeometriaFactory-Api/05-Arquitectura-Tecnica/Arquitectura-Unidad-Entrega.md | 1242 | PA-11 | 0a71935 | ya en: SDD/Docs/Proyectos/GeometriaFactory-Application/05-Arquitectura-Tecnica/Arquitectura-Proyecto-Codigo.md |
| GeometriaFactory-Api/06-Backlog-Tecnico/Product-Backlog.md | 741 | PA-01 | 818997f | ya en: SDD/Docs/Proyectos/GeometriaFactory-Contracts/06-Backlog-Tecnico/Product-Backlog.md |
| GeometriaFactory-Api/06-Backlog-Tecnico/Product-Backlog.md | 745 | PA-05 | 818997f | ya en: SDD/Docs/Proyectos/GeometriaFactory-Api/02-Especificacion-Funcional/Definicion-Superficie-HTTP.md |
