# E-015 · Clasificación §4.8 de los huecos con ciclo de origen derivado (Migracion-Rules.md 3.20 §4.8)
# Paso 3: versión del framework vigente en el destino en el commit del ciclo: git show <hash>:SDD/Intake/PRODUCT-MANIFEST-Fabrica-De-Geometria.md, fila «Framework SDD (conjunto)».
# Paso 1-2: la exigencia de cada fila es la del ítem de su categoría que la tabla de puntos abiertos declara pendiente; su fila existe PORQUE esa exigencia regía al declararse.
# Criterio de §4.8: exigencia anterior o igual a la versión del ciclo → hueco del ciclo; posterior → norma posterior. Sólo se eleva lo que ninguna de las dos alcanza.
| Documento | Línea (base) | Id | Estado (celda) | Commit del ciclo | Conjunto en el ciclo | Clasificación |
|---|---|---|---|---|---|---|
| GeometriaFactory-Api/05-Arquitectura-Tecnica/Arquitectura-Unidad-Entrega.md | 1189 | PA-01 | **Cerrado** el 2026-08-20 · **A2b, por l | 0a71935 | 6.0 | hueco del ciclo |
| GeometriaFactory-Api/05-Arquitectura-Tecnica/Arquitectura-Unidad-Entrega.md | 1190 | PA-02 | **Cerrado** | 0a71935 | 6.0 | hueco del ciclo |
| GeometriaFactory-Api/05-Arquitectura-Tecnica/Arquitectura-Unidad-Entrega.md | 1191 | PA-03 | **Cerrado** | 0a71935 | 6.0 | hueco del ciclo |
| GeometriaFactory-Api/05-Arquitectura-Tecnica/Arquitectura-Unidad-Entrega.md | 1192 | PA-04 | **Vigente, y reformulado el 2026-08-26 p | 0a71935 | 6.0 | hueco del ciclo |
| GeometriaFactory-Api/05-Arquitectura-Tecnica/Arquitectura-Unidad-Entrega.md | 1193 | PA-05 | **Cerrado** el 2026-08-20 · Se adopta ** | 0a71935 | 6.0 | hueco del ciclo |
| GeometriaFactory-Api/05-Arquitectura-Tecnica/Arquitectura-Unidad-Entrega.md | 1194 | PA-06 | **Cerrado** | — | — | sin ciclo de origen (§4.9): no se clasifica ni se eleva |
| GeometriaFactory-Api/05-Arquitectura-Tecnica/Arquitectura-Unidad-Entrega.md | 1195 | PA-07 | **Cerrado** el 2026-08-20 · **A2, por le | 0a71935 | 6.0 | hueco del ciclo |
| GeometriaFactory-Api/05-Arquitectura-Tecnica/Arquitectura-Unidad-Entrega.md | 1196 | PA-08 | **Vigente.** La fase `i` está planificad | 0a71935 | 6.0 | hueco del ciclo |
| GeometriaFactory-Api/05-Arquitectura-Tecnica/Arquitectura-Unidad-Entrega.md | 1197 | PA-09 | **Cerrado** el 2026-08-26 · **decisión d | 0a71935 | 6.0 | hueco del ciclo |
